id,name,balls_bowled,balls_faced,fielded
663,J Botha,709,364,19
664,Mashrafe Mortaza,28,2,1
665,Jaskaran Singh,111,11,0
666,GJ Bailey,0,552,17
667,AB McDonald,188,103,0
668,Y Nagar,72,271,11
669,CK Langeveldt,165,9,0
670,SS Shaikh,0,7,2
671,Mohammad Ashraful,0,12,2
672,RA Shaikh,6,0,0
673,Anirudh Singh,0,69,3
674,CA Pujara,0,403,6
675,OA Shah,0,405,8
676,SW Tait,534,26,6
677,A Uniyal,38,7,0
678,AA Jhunjhunwala,88,218,14
679,P Dogra,0,141,6
680,R Sathish,144,236,15
681,R McLaren,372,178,6
682,AG Murtaza,269,14,4
683,MS Bisla,0,737,30
684,RS Gavaskar,6,8,0
685,JM Kemp,47,25,1
686,S Ladda,141,10,3
687,FY Fazal,12,179,7
688,SE Bond,191,2,0
689,MJ Lumb,0,198,5
690,DR Martyn,0,26,0
691,S Narwal,113,29,2
692,SJ Srivastava,306,5,2
693,AB Barath,0,43,0
694,AC Voges,56,143,4
695,MD Mishra,0,213,1
696,R Sharma,935,77,10
697,J Theron,235,13,3
698,NLTC Perera,715,326,17
699,KB Arun Karthik,0,53,14
700,KAJ Roach,52,9,1
701,PD Collingwood,90,159,3
702,C Ganapathy,6,0,0
703,MB Parmar,19,0,0
704,SB Wagh,108,3,2
705,DE Bollinger,600,23,6
706,AP Dole,73,23,2
707,AN Ahmed,362,27,3
708,L Ablish,45,2,0
709,RS Sodhi,0,2,2
710,B Sumanth,0,38,4
711,S Sriram,18,38,0
712,C Madan,0,21,0
713,AG Paunikar,0,61,2
714,ND Doshi,57,13,0
715,S Randiv,180,4,3
716,AL Menaria,113,367,4
717,AUK Pathan,41,26,3
718,RV Gomez,97,53,4
719,UBT Chand,0,314,9
720,JEC Franklin,155,309,6
721,DJ Jacobs,0,101,5
722,AC Thomas,327,19,4
723,Sunny Singh,0,31,1
724,NJ Rimmington,18,1,0
725,RN ten Doeschate,83,238,9
726,BA Bhatt,303,7,0
727,JJ van der Wath,76,17,0
728,R Ninan,36,6,1
729,TD Paine,0,29,0
730,DH Yagnik,0,142,19
731,BJ Haddin,0,11,0
732,J Syed Mohammad,196,27,1
733,NL McCullum,30,23,1
